t_s,j22,j23,j24,j25,j26,j27,j28,j12
2.540063,0.080150,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.560387,0.080150,-0.092578,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041568
2.580409,0.080127,-0.092554,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.600436,0.080150,-0.092554,-0.131527,1.291276,-0.458193,0.000000,0.000000,-0.041568
2.620102,0.080139,-0.092554,-0.131551,1.291300,-0.458193,0.000000,0.000000,-0.041568
2.640322,0.080150,-0.092554,-0.131563,1.291276,-0.458205,0.000000,0.000000,-0.041568
2.660078,0.080150,-0.092554,-0.131551,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.680310,0.080139,-0.092578,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.700064,0.080186,-0.092554,-0.131551,1.291288,-0.458217,0.000000,0.000000,-0.041568
2.720066,0.080150,-0.092554,-0.131527,1.291288,-0.458217,0.000000,0.000000,-0.041582
2.740067,0.080174,-0.092554,-0.131563,1.291300,-0.458169,0.000000,0.000000,-0.041568
2.760066,0.080186,-0.092566,-0.131503,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.780092,0.080127,-0.092554,-0.131587,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.800060,0.080174,-0.092554,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.820063,0.080150,-0.092554,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.840068,0.080186,-0.092566,-0.131563,1.291264,-0.458193,0.000000,0.000000,-0.041568
2.860073,0.080150,-0.092554,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.880074,0.080174,-0.092578,-0.131575,1.291300,-0.458205,0.000000,0.000000,-0.041568
2.900074,0.080174,-0.092554,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041542
2.920338,0.080127,-0.092566,-0.131539,1.291288,-0.458205,0.000000,0.000000,-0.041542
2.940253,0.080150,-0.092554,-0.131563,1.291300,-0.458205,0.000000,0.000000,-0.041555
2.960238,0.080150,-0.092566,-0.131539,1.291288,-0.458181,0.000000,0.000000,-0.041528
2.980446,0.080139,-0.092554,-0.131575,1.291312,-0.458193,0.000000,0.000000,-0.041542
3.000151,0.080174,-0.092554,-0.131575,1.291276,-0.458205,0.000000,0.000000,-0.041528
3.020263,0.080150,-0.092554,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041501
3.040072,0.080150,-0.092566,-0.131539,1.291288,-0.458193,0.000000,0.000000,-0.041501
3.060074,0.080150,-0.092542,-0.131539,1.291288,-0.458193,0.000000,0.000000,-0.041501
3.080176,0.080150,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041528
3.100091,0.080150,-0.092554,-0.131551,1.291288,-0.458205,0.000000,0.000000,-0.041528
3.120065,0.080150,-0.092578,-0.131527,1.291264,-0.458205,0.000000,0.000000,-0.041501
3.140067,0.080150,-0.092578,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041501
3.160069,0.080150,-0.092554,-0.131563,1.291252,-0.458193,0.000000,0.000000,-0.041528
3.180070,0.080150,-0.092578,-0.131527,1.291276,-0.458193,0.000000,0.000000,-0.041515
3.200067,0.080150,-0.092554,-0.131527,1.291276,-0.458205,0.000000,0.000000,-0.041528
3.220068,0.080127,-0.092554,-0.131551,1.291312,-0.458205,0.000000,0.000000,-0.041542
3.240062,0.080186,-0.092554,-0.131539,1.291288,-0.458205,0.000000,0.000000,-0.041501
3.260066,0.080174,-0.092554,-0.131539,1.291300,-0.458193,0.000000,0.000000,-0.041528
3.280066,0.080150,-0.092554,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041501
3.300065,0.080174,-0.092578,-0.131551,1.291300,-0.458193,0.000000,0.000000,-0.041501
3.320233,0.080150,-0.092554,-0.131539,1.291288,-0.458181,0.000000,0.000000,-0.041528
3.340301,0.080186,-0.092518,-0.131551,1.291264,-0.458181,0.000000,0.000000,-0.041528
3.360072,0.080150,-0.092566,-0.131515,1.291276,-0.458217,0.000000,0.000000,-0.041528
